experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp,experiment_timestamp,model_used,num_questions
final_targeted_20250708_160041,search_and_answer,10,How does photosynthesis work?,plants convert light energy into chemical energy using chlorophyll,photosynthesis,0.0,0.0,0.0,1,Process explanation - synthesis helps,2025-07-08T16:04:33.371503,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,11,Why do seasons occur?,Earth's tilted axis causes different amounts of sunlight,atmospheric sciences,0.0,0.0,0.0,2,Causal explanation - synthesis needed,2025-07-08T16:04:33.538706,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,12,How do vaccines prevent disease?,they train the immune system to recognize pathogens,vaccine efficacy,0.0,0.0,0.0,2,Mechanism explanation,2025-07-08T16:04:33.668938,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,13,What causes earthquakes?,movement of tectonic plates,earthquakes,0.0,0.0,0.0,1,Scientific explanation,2025-07-08T16:04:34.048492,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,14,How does the internet work?,network of connected computers sharing information,web search queries,0.0,0.0,0.0,3,System explanation,2025-07-08T16:04:34.433589,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,15,What are the symptoms of diabetes?,increased thirst hunger fatigue blurred vision,symptoms of diabetes,0.0,0.0,0.0,3,Multiple facts - detailed lookup helps,2025-07-08T16:04:34.594514,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,16,What are the main greenhouse gases?,carbon dioxide methane nitrous oxide fluorinated gases,water vapor,0.0,0.0,0.0,2,List of items - detailed retrieval,2025-07-08T16:04:34.754196,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,17,What are the layers of Earth's atmosphere?,troposphere stratosphere mesosphere thermosphere exosphere,mesosphere,0.0,0.33333333333333337,0.2,1,Ordered list - detailed lookup,2025-07-08T16:04:34.892232,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,18,Who discovered penicillin?,Alexander Fleming,howard florey,0.0,0.0,0.0,2,Attribution - source awareness helps,2025-07-08T16:04:35.294552,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,19,When was DNA structure discovered?,1953,sequence hypothesis,0.0,0.0,0.0,2,Historical discovery - sourcing important,2025-07-08T16:04:35.671259,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,20,Who proposed the theory of evolution?,Charles Darwin,charles darwin,1.0,1.0,1.0,2,Scientific attribution,2025-07-08T16:04:35.847285,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,21,What color is grass?,green,yellow,0.0,0.0,0.0,1,Too simple - basic might win,2025-07-08T16:04:36.030957,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,22,How many legs does a cat have?,four,,0.0,0.0,0.0,0,Very simple - basic comparison,2025-07-08T16:04:36.151558,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,23,In what country is Normandy located?,France,?',0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:36.588422,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,24,When were the Normans in Normandy?,10th and 11th centuries,10th century -- 11th century,0.0,0.5,0.5,5,SQuAD baseline,2025-07-08T16:04:37.002758,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,25,From which countries did the Norse originate?,"Denmark, Iceland and Norway",scandinavia,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:37.156887,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,26,Who was the Norse leader?,Rollo,oberoi,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:37.303798,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,27,What century did the Normans first gain their separate identity?,10th century,the early 16th century,0.0,0.3333333333333333,0.5,4,SQuAD baseline,2025-07-08T16:04:37.459289,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,28,Who was the duke in the battle of Hastings?,William the Conqueror,duke of edinburgh,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:37.882293,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,29,Who ruled the duchy of Normandy,Richard I,their grandfathers,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:38.281825,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,30,What religion were the Normans,Catholic,islam,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:38.437937,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,31,What is the original meaning of the word Norman?,Viking,search engines,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:38.572538,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,32,When was the Latin version of the word Norman first recorded?,9th century,180 bc,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:38.705731,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,33,When was the Duchy of Normandy founded?,911,987,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:39.052288,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,34,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,rollo ramsey,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:39.476993,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,35,What river originally bounded the Duchy,Seine,"river irwell, radcliffe",0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:39.657637,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,36,Who upon arriving gave the original viking settlers a common identity?,Rollo,the Normans,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:39.810046,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,37,What was the Norman religion?,Catholicism,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T16:04:39.943676,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,38,What part of France were the Normans located?,north,northern france,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:40.341146,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,39,What was one of the Norman's major exports?,fighting horsemen,petroleum,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:40.733534,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,40,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,armenia,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:40.882886,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,41,When did Herve serve as a Byzantine general?,1050s,1984 -- 86,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:41.025028,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,42,When did Robert Crispin go up against the Turks?,1060s,the battle of akroinon,0.0,0.0,0.0,4,SQuAD baseline,2025-07-08T16:04:41.203360,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,43,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,?',0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:41.598142,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,44,What was the name of the Norman castle?,Afranji,norman castle complex,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:41.998852,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,45,Who was the leader when the Franks entered the Euphrates valley?,Oursel,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T16:04:42.122408,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,46,Who did the Normans team up with in Anatolia?,Turkish forces,the,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:42.256900,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,47,What were the origins of the Raouliii family?,Norman mercenary,alogy,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:42.438856,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,48,What was the name of the count of Apulia ,Robert Guiscard,marcus tullius cicero,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:42.895032,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,49,When did Dyrrachium  fall to the Normans?,1082,1970s,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:43.302346,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,50,How many men were in Robert's army?,"30,000","over 150,000 men",0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:43.462811,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,51,Where did the Normans and Byzantines sign the peace treaty?,Deabolis,constantinople,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:43.633653,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,52,Who was Robert's son?,Bohemond,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T16:04:43.759709,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,53,What river was Petrela located by?,Deabolis,the amazon river,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:44.159381,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,54,When did the Normans attack Dyrrachium?,1185,1066,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:44.586521,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,55,What was the naval base called?,Dyrrachium,basic war skills,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:44.734925,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,56,Where was Dyrrachium located?,the Adriatic,in europe,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:44.881083,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,57,Who did Emma Marry?,King Ethelred II,theodore roosevelt,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:45.040330,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,58,Who was Emma's brother?,Duke Richard II,elliot reeves,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:45.451837,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,59,To where did Ethelred flee?,Normandy,?',0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:45.870162,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,60,Who kicked Ethelred out?,Sweyn Forkbeard,james larue avery,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:46.056278,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,61,Who was Edward the Confessor's half-brother?,Harthacnut,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T16:04:46.184151,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,62,When did Edward return?,1041,2002,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:46.347935,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,63,Who did Edward make archbishop of Canterbury?,Robert of Jumièges,eadbald of canterbury,0.0,0.3333333333333333,0.3333333333333333,3,SQuAD baseline,2025-07-08T16:04:46.772222,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,64,Where did Harold II die?,Battle of Hastings,leans,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:47.152108,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,65,Who killed Harold II? ,William II,huntley - brinkley report,0.0,0.0,0.0,4,SQuAD baseline,2025-07-08T16:04:47.322281,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,66,When was the Battle of Hastings?,1066,',0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:47.449638,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,67,Who was the ruling class ahead of the Normans?,Anglo-Saxons,the british,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:47.617015,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,68,What was the Anglo-Norman language's final form?,Modern English,?',0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:48.036716,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,69,In what year did the Norman's invade at Bannow Bay?,1169,1066,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:48.400931,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,70,What country did the Normans invade in 1169?,Ireland,spain,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:48.554003,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,71,What culture did the Normans combine with in Ireland?,Irish,paleo - european,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:48.731893,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,72,Who was Margaret's brother?,Edgar,database,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:48.873893,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,73,Who was Margaret's husband?,King Malcolm III of Scotland,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T16:04:49.216166,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,74,When was Scotland invaded by William?,1072,william of newburgh,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:49.673502,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,75,Who was the hostage?,Duncan,the the reid technique,0.0,0.0,0.0,4,SQuAD baseline,2025-07-08T16:04:49.833483,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,76,Who did Alexander I marry?,Sybilla of Normandy,maria baker,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:49.986393,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,77,"What culture's arrival in Scotland is know as the ""Davidian Revolution""?",Norman,dutch,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:50.117097,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,78,Where was Ralph earl of?,Hereford,the mississippi river,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:50.566101,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,79,Who was Ralph in charge of being at war with?,the Welsh,roosevelt,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:50.965475,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,80,Who made Ralph earl?,Edward the Confessor,who made ralph earl?,0.0,0.0,0.0,4,SQuAD baseline,2025-07-08T16:04:51.149470,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,81,What country was under the control of Norman barons?,Wales,britain,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:51.290695,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,82,What year did Roger de Tosny fail to accomplish what he set out to do?,1018,1988,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:51.427925,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,83,Who was in charge of the papal army in the War of Barbastro?,William of Montreuil,pope alexander ii,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:51.856103,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,84,When did the Siege of Antioch take place?,1097,1097 -- 1098,0.0,0.5,1.0,3,SQuAD baseline,2025-07-08T16:04:52.253798,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,85,What was the name of Bohemond's nephew?,Tancred,his look - alike brothers,0.0,0.0,0.0,5,SQuAD baseline,2025-07-08T16:04:52.414123,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,86,What major conquest did Tancred play a roll in?,Jerusalem,british empire,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:52.620109,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,87,How long did Western Europe control Cyprus?,380 years,1878 -- 79,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:52.823454,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,88,What ruined Richard's plans to reach Acre?,a storm,drought,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:53.109074,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,89,Who was Richard's fiancee?,Berengaria,?',0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:53.535499,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,90,What year did the storm hit Richard's fleet?,1191,1982,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:53.653898,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,91,Who ruled Cyprus in 1191?,Isaac Komnenos,king cnut,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:53.813640,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,92,Who was Guy's Rival?,Conrad of Montferrat,alexander russell,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:53.976877,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,93,What were Isaac's chains made out of?,silver,iron,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:54.395254,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,94,Who led Richard's troops when Cyprus was conquered?,Guy de Lusignan,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T16:04:54.802063,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,95,What continent are the Canarian Islands off the coast of?,Africa,united states,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:54.937077,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,96,Who became the King of the Canary Islands?,Bethencourt,king ferdinand vi of spain,0.0,0.0,0.0,5,SQuAD baseline,2025-07-08T16:04:55.114678,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,97,Who bought the rights?,Enrique Pérez de Guzmán,title search,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:55.253347,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,98,Who sold the rights?,Maciot de Bethencourt,rights trader,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:55.617751,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,99,Where are Jersey and Guernsey,Channel Islands,channel islands,1.0,1.0,1.0,2,SQuAD baseline,2025-07-08T16:04:56.032036,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,100,How many customaries does Norman customary law have?,two,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T16:04:56.154222,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,101,What is the Norman architecture idiom?,Romanesque,norman architecture,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:56.299430,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,102,What kind of arches does Norman architecture have?,rounded,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T16:04:56.420424,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,103,What architecture type came after Norman in England?,Early Gothic,romanesque architecture,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:56.778596,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,104,What architecture type came before Norman in England?,Anglo-Saxon,transitional architecture,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:57.244564,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,105,What place had the Norman Arab architectural style?,Sicily,abbasid samarra,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:04:57.408166,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,106,When did the church reform begin?,early 11th century,1876,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:57.538745,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,107,Who used the church to unify themselves?,dukes,john of patmos,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:57.692478,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,108,When were the French wars of religion?,16th century,french wars of religion,0.0,0.0,0.0,4,SQuAD baseline,2025-07-08T16:04:58.110855,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,109,What kind of needlework was used in the creation of the Bayeux Tapestry?,embroidery,medieval narrative needlework,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:58.509090,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,110,What is Norman art's most well known piece?,Bayeux Tapestry,the body of work,0.0,0.0,0.0,4,SQuAD baseline,2025-07-08T16:04:58.691386,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,111,Who commissioned the Tapestry?,Odo,who,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:58.858102,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,112,What is the most important type of Norman art preserved in churches?,mosaics,architecture,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:59.003900,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,113,In what century did important classical music developments occur in Normandy?,11th,the 14th century,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:59.406967,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,114,Who were the two abbots at Fécamp Abbey?,William of Volpiano and John of Ravenna,?',0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:04:59.831253,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,115,Where did the monks flee to?,southern Italy,the mediterranean sea,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T16:04:59.983130,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,116,What monastery did the Saint-Evroul monks establish in Italy?,Latin monastery at Sant'Eufemia.,san vitale,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:05:00.144785,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,117,Who patronized the monks in Italy? ,Robert Guiscard,monasteries,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:05:00.305322,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,118,What tradition were the Saint-Evroul monks known for?,singing,evroul monks were enormously popular,0.0,0.0,0.0,5,SQuAD baseline,2025-07-08T16:05:00.732333,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,119,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?,Computational complexity theory,computational complexity,0.0,0.8,0.6666666666666666,2,SQuAD baseline,2025-07-08T16:05:01.108022,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,120,By what main attribute are computational problems classified utilizing computational complexity theory? ,inherent difficulty,structure,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:05:01.233833,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,121,What is the term for a task that generally lends itself to being solved by a computer?,computational problems,search,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T16:05:01.368752,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,122,What measure of a computational problem broadly defines the inherent difficulty of the solution?,if its solution requires significant resources,'difficulty ',0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:05:01.512104,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,123,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem?,mathematical models of computation,pareto chart,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T16:05:01.905344,20250708_161845,facebook/rag-token-nq,500
