experiment_id,template,question_id,original_question,base_question,formatted_question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,had_original_question_mark,timestamp
question_mark_20250710_060653,without_question_mark,12,What river originally bounded the Duchy,What river originally bounded the Duchy,What river originally bounded the Duchy,Seine,elbe,0.0,0.0,0.0,1,False,2025-07-10T06:10:28.393235
question_mark_20250710_060653,without_question_mark,13,Who upon arriving gave the original viking settlers a common identity?,Who upon arriving gave the original viking settlers a common identity,Who upon arriving gave the original viking settlers a common identity,Rollo,the inuit,0.0,0.0,0.0,2,True,2025-07-10T06:10:29.213502
question_mark_20250710_060653,without_question_mark,14,What was the Norman religion?,What was the Norman religion,What was the Norman religion,Catholicism,catholicism,1.0,1.0,1.0,1,True,2025-07-10T06:10:29.625077
question_mark_20250710_060653,without_question_mark,15,What part of France were the Normans located?,What part of France were the Normans located,What part of France were the Normans located,north,west france,0.0,0.0,0.0,2,True,2025-07-10T06:10:30.054251
question_mark_20250710_060653,without_question_mark,16,What was one of the Norman's major exports?,What was one of the Norman's major exports,What was one of the Norman's major exports,fighting horsemen,cloth,0.0,0.0,0.0,1,True,2025-07-10T06:10:30.181119
question_mark_20250710_060653,without_question_mark,17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?","Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia","Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia",Seljuk Turks,,0.0,0.0,0.0,0,True,2025-07-10T06:10:30.554996
question_mark_20250710_060653,without_question_mark,18,When did Herve serve as a Byzantine general?,When did Herve serve as a Byzantine general,When did Herve serve as a Byzantine general,1050s,552 -- 553,0.0,0.0,0.0,3,True,2025-07-10T06:10:31.297643
question_mark_20250710_060653,without_question_mark,19,When did Robert Crispin go up against the Turks?,When did Robert Crispin go up against the Turks,When did Robert Crispin go up against the Turks,1060s,the seventh crusade,0.0,0.0,0.0,3,True,2025-07-10T06:10:31.798091
question_mark_20250710_060653,without_question_mark,20,Who ruined Roussel de Bailleul's plans for an independent state?,Who ruined Roussel de Bailleul's plans for an independent state,Who ruined Roussel de Bailleul's plans for an independent state,Alexius Komnenos,,0.0,0.0,0.0,0,True,2025-07-10T06:10:31.923646
question_mark_20250710_060653,without_question_mark,21,What was the name of the Norman castle?,What was the name of the Norman castle,What was the name of the Norman castle,Afranji,neath castle,0.0,0.0,0.0,2,True,2025-07-10T06:10:32.367470
question_mark_20250710_060653,without_question_mark,22,Who was the leader when the Franks entered the Euphrates valley?,Who was the leader when the Franks entered the Euphrates valley,Who was the leader when the Franks entered the Euphrates valley,Oursel,theudebert i,0.0,0.0,0.0,2,True,2025-07-10T06:10:32.754068
question_mark_20250710_060653,without_question_mark,23,Who did the Normans team up with in Anatolia?,Who did the Normans team up with in Anatolia,Who did the Normans team up with in Anatolia,Turkish forces,turkey,0.0,0.0,0.0,1,True,2025-07-10T06:10:33.395781
question_mark_20250710_060653,without_question_mark,24,What were the origins of the Raouliii family?,What were the origins of the Raouliii family,What were the origins of the Raouliii family,Norman mercenary,from the raouliii family,0.0,0.0,0.0,4,True,2025-07-10T06:10:33.966215
question_mark_20250710_060653,without_question_mark,25,What was the name of the count of Apulia ,What was the name of the count of Apulia,What was the name of the count of Apulia,Robert Guiscard,( last ) frederick iii,0.0,0.0,0.0,5,False,2025-07-10T06:10:34.580138
question_mark_20250710_060653,without_question_mark,26,When did Dyrrachium  fall to the Normans?,When did Dyrrachium  fall to the Normans,When did Dyrrachium  fall to the Normans,1082,"august 3, 1376",0.0,0.0,0.0,3,True,2025-07-10T06:10:34.751254
question_mark_20250710_060653,without_question_mark,27,How many men were in Robert's army?,How many men were in Robert's army,How many men were in Robert's army,"30,000","4,000 +",0.0,0.0,0.0,2,True,2025-07-10T06:10:35.442858
question_mark_20250710_060653,without_question_mark,28,Where did the Normans and Byzantines sign the peace treaty?,Where did the Normans and Byzantines sign the peace treaty,Where did the Normans and Byzantines sign the peace treaty,Deabolis,constantinople,0.0,0.0,0.0,1,True,2025-07-10T06:10:36.338705
question_mark_20250710_060653,without_question_mark,29,Who was Robert's son?,Who was Robert's son,Who was Robert's son,Bohemond,odo,0.0,0.0,0.0,1,True,2025-07-10T06:10:36.592499
question_mark_20250710_060653,without_question_mark,30,What river was Petrela located by?,What river was Petrela located by,What river was Petrela located by,Deabolis,river irwell,0.0,0.0,0.0,2,True,2025-07-10T06:10:37.191556
question_mark_20250710_060653,without_question_mark,31,When did the Normans attack Dyrrachium?,When did the Normans attack Dyrrachium,When did the Normans attack Dyrrachium,1185,2018,0.0,0.0,0.0,1,True,2025-07-10T06:10:37.526631
question_mark_20250710_060653,without_question_mark,32,What was the naval base called?,What was the naval base called,What was the naval base called,Dyrrachium,nswb,0.0,0.0,0.0,1,True,2025-07-10T06:10:38.119527
question_mark_20250710_060653,without_question_mark,33,Where was Dyrrachium located?,Where was Dyrrachium located,Where was Dyrrachium located,the Adriatic,", germany",0.0,0.0,0.0,2,True,2025-07-10T06:10:38.527131
question_mark_20250710_060653,without_question_mark,34,Who did Emma Marry?,Who did Emma Marry,Who did Emma Marry,King Ethelred II,matt willis,0.0,0.0,0.0,2,True,2025-07-10T06:10:38.907848
question_mark_20250710_060653,without_question_mark,35,Who was Emma's brother?,Who was Emma's brother,Who was Emma's brother,Duke Richard II,ellie snyder,0.0,0.0,0.0,2,True,2025-07-10T06:10:39.324186
question_mark_20250710_060653,without_question_mark,36,To where did Ethelred flee?,To where did Ethelred flee,To where did Ethelred flee,Normandy,toowoomba,0.0,0.0,0.0,1,True,2025-07-10T06:10:39.808025
question_mark_20250710_060653,without_question_mark,37,Who kicked Ethelred out?,Who kicked Ethelred out,Who kicked Ethelred out,Sweyn Forkbeard,heather,0.0,0.0,0.0,1,True,2025-07-10T06:10:40.283836
question_mark_20250710_060653,without_question_mark,38,Who was Edward the Confessor's half-brother?,Who was Edward the Confessor's half-brother,Who was Edward the Confessor's half-brother,Harthacnut,edmund irons,0.0,0.0,0.0,2,True,2025-07-10T06:10:40.787994
question_mark_20250710_060653,without_question_mark,39,When did Edward return?,When did Edward return,When did Edward return,1041,"november 26, 1991",0.0,0.0,0.0,3,True,2025-07-10T06:10:41.408892
question_mark_20250710_060653,without_question_mark,40,Who did Edward make archbishop of Canterbury?,Who did Edward make archbishop of Canterbury,Who did Edward make archbishop of Canterbury,Robert of Jumièges,himself,0.0,0.0,0.0,1,True,2025-07-10T06:10:41.926900
question_mark_20250710_060653,without_question_mark,41,Where did Harold II die?,Where did Harold II die,Where did Harold II die,Battle of Hastings,at the battle of hastings,0.0,0.7499999999999999,1.0,5,True,2025-07-10T06:10:42.436593
question_mark_20250710_060653,without_question_mark,42,Who killed Harold II? ,Who killed Harold II?,Who killed Harold II?,William II,william the conqueror,0.0,0.4,0.5,3,False,2025-07-10T06:10:42.915468
question_mark_20250710_060653,without_question_mark,43,When was the Battle of Hastings?,When was the Battle of Hastings,When was the Battle of Hastings,1066,14 october 1066,0.0,0.5,1.0,3,True,2025-07-10T06:10:43.312951
question_mark_20250710_060653,without_question_mark,44,Who was the ruling class ahead of the Normans?,Who was the ruling class ahead of the Normans,Who was the ruling class ahead of the Normans,Anglo-Saxons,the nobility,0.0,0.0,0.0,2,True,2025-07-10T06:10:43.712396
question_mark_20250710_060653,without_question_mark,45,What was the Anglo-Norman language's final form?,What was the Anglo-Norman language's final form,What was the Anglo-Norman language's final form,Modern English,middle english,0.0,0.5,0.5,2,True,2025-07-10T06:10:44.186089
question_mark_20250710_060653,without_question_mark,46,In what year did the Norman's invade at Bannow Bay?,In what year did the Norman's invade at Bannow Bay,In what year did the Norman's invade at Bannow Bay,1169,1170,0.0,0.0,0.0,1,True,2025-07-10T06:10:44.967363
question_mark_20250710_060653,without_question_mark,47,What country did the Normans invade in 1169?,What country did the Normans invade in 1169,What country did the Normans invade in 1169,Ireland,england,0.0,0.0,0.0,1,True,2025-07-10T06:10:45.504726
question_mark_20250710_060653,without_question_mark,48,What culture did the Normans combine with in Ireland?,What culture did the Normans combine with in Ireland,What culture did the Normans combine with in Ireland,Irish,irish,1.0,1.0,1.0,1,True,2025-07-10T06:10:46.093461
question_mark_20250710_060653,without_question_mark,49,Who was Margaret's brother?,Who was Margaret's brother,Who was Margaret's brother,Edgar,henry vi,0.0,0.0,0.0,2,True,2025-07-10T06:10:46.691717
question_mark_20250710_060653,without_question_mark,50,Who was Margaret's husband?,Who was Margaret's husband,Who was Margaret's husband,King Malcolm III of Scotland,hans schroeder,0.0,0.0,0.0,2,True,2025-07-10T06:10:47.292134
question_mark_20250710_060653,without_question_mark,51,When was Scotland invaded by William?,When was Scotland invaded by William,When was Scotland invaded by William,1072,1612,0.0,0.0,0.0,1,True,2025-07-10T06:10:47.765318
question_mark_20250710_060653,without_question_mark,52,Who was the hostage?,Who was the hostage,Who was the hostage,Duncan,iran,0.0,0.0,0.0,1,True,2025-07-10T06:10:48.371790
question_mark_20250710_060653,without_question_mark,53,Who did Alexander I marry?,Who did Alexander I marry,Who did Alexander I marry,Sybilla of Normandy,catherine,0.0,0.0,0.0,1,True,2025-07-10T06:10:49.468145
question_mark_20250710_060653,without_question_mark,54,"What culture's arrival in Scotland is know as the ""Davidian Revolution""?","What culture's arrival in Scotland is know as the ""Davidian Revolution""","What culture's arrival in Scotland is know as the ""Davidian Revolution""",Norman,norman,1.0,1.0,1.0,1,True,2025-07-10T06:10:50.257062
question_mark_20250710_060653,without_question_mark,55,Where was Ralph earl of?,Where was Ralph earl of,Where was Ralph earl of,Hereford,england,0.0,0.0,0.0,1,True,2025-07-10T06:10:50.868724
question_mark_20250710_060653,without_question_mark,56,Who was Ralph in charge of being at war with?,Who was Ralph in charge of being at war with,Who was Ralph in charge of being at war with,the Welsh,u.s. army,0.0,0.0,0.0,2,True,2025-07-10T06:10:51.400651
question_mark_20250710_060653,without_question_mark,57,Who made Ralph earl?,Who made Ralph earl,Who made Ralph earl,Edward the Confessor,roosevelt,0.0,0.0,0.0,1,True,2025-07-10T06:10:52.190391
question_mark_20250710_060653,without_question_mark,58,What country was under the control of Norman barons?,What country was under the control of Norman barons,What country was under the control of Norman barons,Wales,england,0.0,0.0,0.0,1,True,2025-07-10T06:10:52.885046
question_mark_20250710_060653,without_question_mark,59,What year did Roger de Tosny fail to accomplish what he set out to do?,What year did Roger de Tosny fail to accomplish what he set out to do,What year did Roger de Tosny fail to accomplish what he set out to do,1018,1982,0.0,0.0,0.0,1,True,2025-07-10T06:10:53.386766
question_mark_20250710_060653,without_question_mark,60,Who was in charge of the papal army in the War of Barbastro?,Who was in charge of the papal army in the War of Barbastro,Who was in charge of the papal army in the War of Barbastro,William of Montreuil,pope alexander ii,0.0,0.0,0.0,3,True,2025-07-10T06:10:53.907606
question_mark_20250710_060653,without_question_mark,61,When did the Siege of Antioch take place?,When did the Siege of Antioch take place,When did the Siege of Antioch take place,1097,1097 and 1098,0.0,0.5,1.0,3,True,2025-07-10T06:10:54.497145
question_mark_20250710_060653,without_question_mark,62,What was the name of Bohemond's nephew?,What was the name of Bohemond's nephew,What was the name of Bohemond's nephew,Tancred,nephew,0.0,0.0,0.0,1,True,2025-07-10T06:10:55.079679
question_mark_20250710_060653,without_question_mark,63,What major conquest did Tancred play a roll in?,What major conquest did Tancred play a roll in,What major conquest did Tancred play a roll in,Jerusalem,british - iroquois victory,0.0,0.0,0.0,4,True,2025-07-10T06:10:56.098494
question_mark_20250710_060653,without_question_mark,64,How long did Western Europe control Cyprus?,How long did Western Europe control Cyprus,How long did Western Europe control Cyprus,380 years,from 1914 to 1925,0.0,0.0,0.0,4,True,2025-07-10T06:10:56.828591
question_mark_20250710_060653,without_question_mark,65,What ruined Richard's plans to reach Acre?,What ruined Richard's plans to reach Acre,What ruined Richard's plans to reach Acre,a storm,,0.0,0.0,0.0,0,True,2025-07-10T06:10:57.053047
question_mark_20250710_060653,without_question_mark,66,Who was Richard's fiancee?,Who was Richard's fiancee,Who was Richard's fiancee,Berengaria,nadiuska,0.0,0.0,0.0,1,True,2025-07-10T06:10:57.608886
question_mark_20250710_060653,without_question_mark,67,What year did the storm hit Richard's fleet?,What year did the storm hit Richard's fleet,What year did the storm hit Richard's fleet,1191,1703,0.0,0.0,0.0,1,True,2025-07-10T06:10:57.987908
question_mark_20250710_060653,without_question_mark,68,Who ruled Cyprus in 1191?,Who ruled Cyprus in 1191,Who ruled Cyprus in 1191,Isaac Komnenos,king richard i of england,0.0,0.0,0.0,5,True,2025-07-10T06:10:58.563116
question_mark_20250710_060653,without_question_mark,69,Who was Guy's Rival?,Who was Guy's Rival,Who was Guy's Rival,Conrad of Montferrat,herman brar,0.0,0.0,0.0,2,True,2025-07-10T06:10:59.554445
question_mark_20250710_060653,without_question_mark,70,What were Isaac's chains made out of?,What were Isaac's chains made out of,What were Isaac's chains made out of,silver,,0.0,0.0,0.0,0,True,2025-07-10T06:11:00.096702
question_mark_20250710_060653,without_question_mark,71,Who led Richard's troops when Cyprus was conquered?,Who led Richard's troops when Cyprus was conquered,Who led Richard's troops when Cyprus was conquered,Guy de Lusignan,president richard i,0.0,0.0,0.0,3,True,2025-07-10T06:11:00.719092
question_mark_20250710_060653,without_question_mark,72,What continent are the Canarian Islands off the coast of?,What continent are the Canarian Islands off the coast of,What continent are the Canarian Islands off the coast of,Africa,western hemisphere,0.0,0.0,0.0,2,True,2025-07-10T06:11:01.236314
question_mark_20250710_060653,without_question_mark,73,Who became the King of the Canary Islands?,Who became the King of the Canary Islands,Who became the King of the Canary Islands,Bethencourt,jean de béthencourt,0.0,0.0,0.0,3,True,2025-07-10T06:11:01.902091
question_mark_20250710_060653,without_question_mark,74,Who bought the rights?,Who bought the rights,Who bought the rights,Enrique Pérez de Guzmán,tolkien estate,0.0,0.0,0.0,2,True,2025-07-10T06:11:02.665840
question_mark_20250710_060653,without_question_mark,75,Who sold the rights?,Who sold the rights,Who sold the rights,Maciot de Bethencourt,tolkien,0.0,0.0,0.0,1,True,2025-07-10T06:11:03.887802
question_mark_20250710_060653,without_question_mark,76,Where are Jersey and Guernsey,Where are Jersey and Guernsey,Where are Jersey and Guernsey,Channel Islands,"normandy, france",0.0,0.0,0.0,2,False,2025-07-10T06:11:04.581326
question_mark_20250710_060653,without_question_mark,77,How many customaries does Norman customary law have?,How many customaries does Norman customary law have,How many customaries does Norman customary law have,two,161,0.0,0.0,0.0,1,True,2025-07-10T06:11:04.932969
question_mark_20250710_060653,without_question_mark,78,What is the Norman architecture idiom?,What is the Norman architecture idiom,What is the Norman architecture idiom,Romanesque,norman transitional style,0.0,0.0,0.0,3,True,2025-07-10T06:11:05.467138
question_mark_20250710_060653,without_question_mark,79,What kind of arches does Norman architecture have?,What kind of arches does Norman architecture have,What kind of arches does Norman architecture have,rounded,grand arch,0.0,0.0,0.0,2,True,2025-07-10T06:11:06.013427
question_mark_20250710_060653,without_question_mark,80,What architecture type came after Norman in England?,What architecture type came after Norman in England,What architecture type came after Norman in England,Early Gothic,processional gateway ( propylon ),0.0,0.0,0.0,5,True,2025-07-10T06:11:06.984204
question_mark_20250710_060653,without_question_mark,81,What architecture type came before Norman in England?,What architecture type came before Norman in England,What architecture type came before Norman in England,Anglo-Saxon,romanesque,0.0,0.0,0.0,1,True,2025-07-10T06:11:07.679101
question_mark_20250710_060653,without_question_mark,82,What place had the Norman Arab architectural style?,What place had the Norman Arab architectural style,What place had the Norman Arab architectural style,Sicily,southern italy,0.0,0.0,0.0,2,True,2025-07-10T06:11:08.062851
question_mark_20250710_060653,without_question_mark,83,When did the church reform begin?,When did the church reform begin,When did the church reform begin,early 11th century,1517,0.0,0.0,0.0,1,True,2025-07-10T06:11:08.486125
question_mark_20250710_060653,without_question_mark,84,Who used the church to unify themselves?,Who used the church to unify themselves,Who used the church to unify themselves,dukes,catholicism,0.0,0.0,0.0,1,True,2025-07-10T06:11:09.029963
question_mark_20250710_060653,without_question_mark,85,When were the French wars of religion?,When were the French wars of religion,When were the French wars of religion,16th century,between 1562 and 1598,0.0,0.0,0.0,4,True,2025-07-10T06:11:09.566341
question_mark_20250710_060653,without_question_mark,86,What kind of needlework was used in the creation of the Bayeux Tapestry?,What kind of needlework was used in the creation of the Bayeux Tapestry,What kind of needlework was used in the creation of the Bayeux Tapestry,embroidery,embroidered,0.0,0.0,0.0,1,True,2025-07-10T06:11:10.356049
question_mark_20250710_060653,without_question_mark,87,What is Norman art's most well known piece?,What is Norman art's most well known piece,What is Norman art's most well known piece,Bayeux Tapestry,the battle of thermopylae,0.0,0.0,0.0,4,True,2025-07-10T06:11:11.274721
question_mark_20250710_060653,without_question_mark,88,Who commissioned the Tapestry?,Who commissioned the Tapestry,Who commissioned the Tapestry,Odo,bishop odo,0.0,0.6666666666666666,1.0,2,True,2025-07-10T06:11:11.936339
question_mark_20250710_060653,without_question_mark,89,What is the most important type of Norman art preserved in churches?,What is the most important type of Norman art preserved in churches,What is the most important type of Norman art preserved in churches,mosaics,norman architecture,0.0,0.0,0.0,2,True,2025-07-10T06:11:12.521553
question_mark_20250710_060653,without_question_mark,90,In what century did important classical music developments occur in Normandy?,In what century did important classical music developments occur in Normandy,In what century did important classical music developments occur in Normandy,11th,1790s,0.0,0.0,0.0,1,True,2025-07-10T06:11:12.896073
question_mark_20250710_060653,without_question_mark,91,Who were the two abbots at Fécamp Abbey?,Who were the two abbots at Fécamp Abbey,Who were the two abbots at Fécamp Abbey,William of Volpiano and John of Ravenna,,0.0,0.0,0.0,0,True,2025-07-10T06:11:13.514955
question_mark_20250710_060653,without_question_mark,92,Where did the monks flee to?,Where did the monks flee to,Where did the monks flee to,southern Italy,italy,0.0,0.6666666666666666,0.5,1,True,2025-07-10T06:11:14.170230
question_mark_20250710_060653,without_question_mark,93,What monastery did the Saint-Evroul monks establish in Italy?,What monastery did the Saint-Evroul monks establish in Italy,What monastery did the Saint-Evroul monks establish in Italy,Latin monastery at Sant'Eufemia.,montepulciano,0.0,0.0,0.0,1,True,2025-07-10T06:11:14.944967
question_mark_20250710_060653,without_question_mark,94,Who patronized the monks in Italy? ,Who patronized the monks in Italy?,Who patronized the monks in Italy?,Robert Guiscard,rich and successful businessmen,0.0,0.0,0.0,4,False,2025-07-10T06:11:15.406354
question_mark_20250710_060653,without_question_mark,95,What tradition were the Saint-Evroul monks known for?,What tradition were the Saint-Evroul monks known for,What tradition were the Saint-Evroul monks known for,singing,aristotelianism,0.0,0.0,0.0,1,True,2025-07-10T06:11:16.125625
question_mark_20250710_060653,without_question_mark,96,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship,Computational complexity theory,computational complexity theory,1.0,1.0,1.0,3,True,2025-07-10T06:11:16.581963
question_mark_20250710_060653,without_question_mark,97,By what main attribute are computational problems classified utilizing computational complexity theory? ,By what main attribute are computational problems classified utilizing computational complexity theory?,By what main attribute are computational problems classified utilizing computational complexity theory?,inherent difficulty,complexity,0.0,0.0,0.0,1,False,2025-07-10T06:11:17.247035
question_mark_20250710_060653,without_question_mark,98,What is the term for a task that generally lends itself to being solved by a computer?,What is the term for a task that generally lends itself to being solved by a computer,What is the term for a task that generally lends itself to being solved by a computer,computational problems,an algorithm,0.0,0.0,0.0,2,True,2025-07-10T06:11:17.803205
question_mark_20250710_060653,without_question_mark,99,What measure of a computational problem broadly defines the inherent difficulty of the solution?,What measure of a computational problem broadly defines the inherent difficulty of the solution,What measure of a computational problem broadly defines the inherent difficulty of the solution,if its solution requires significant resources,turing degree,0.0,0.0,0.0,2,True,2025-07-10T06:11:18.547058
question_mark_20250710_060653,without_question_mark,100,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem?,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem,mathematical models of computation,computational complexity theory,0.0,0.0,0.0,3,True,2025-07-10T06:11:19.011518
question_mark_20250710_060653,without_question_mark,101,What are two basic primary resources used to guage complexity?,What are two basic primary resources used to guage complexity,What are two basic primary resources used to guage complexity,time and storage,water,0.0,0.0,0.0,1,True,2025-07-10T06:11:19.356865
question_mark_20250710_060653,without_question_mark,102,What unit is measured to determine circuit complexity?,What unit is measured to determine circuit complexity,What unit is measured to determine circuit complexity,number of gates in a circuit,s,0.0,0.0,0.0,1,True,2025-07-10T06:11:19.801428
question_mark_20250710_060653,without_question_mark,103,What practical role does defining the complexity of problems play in everyday computing?,What practical role does defining the complexity of problems play in everyday computing,What practical role does defining the complexity of problems play in everyday computing,determine the practical limits on what computers can and cannot do,improving the efficiency of an algorithm,0.0,0.11764705882352942,0.09090909090909091,6,True,2025-07-10T06:11:20.464537
question_mark_20250710_060653,without_question_mark,104,What two fields of theoretical computer science closely mirror computational complexity theory?,What two fields of theoretical computer science closely mirror computational complexity theory,What two fields of theoretical computer science closely mirror computational complexity theory,analysis of algorithms and computability theory,analysis of algorithms,0.0,0.6666666666666666,0.5,3,True,2025-07-10T06:11:21.178964
question_mark_20250710_060653,without_question_mark,105,What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem?,What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem,What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem,analysis of algorithms,computational complexity,0.0,0.0,0.0,2,True,2025-07-10T06:11:21.828506
question_mark_20250710_060653,without_question_mark,106,What field of computer science analyzes all possible algorithms in aggregate to determine the resource requirements needed to solve to a given problem?  ,What field of computer science analyzes all possible algorithms in aggregate to determine the resource requirements needed to solve to a given problem?,What field of computer science analyzes all possible algorithms in aggregate to determine the resource requirements needed to solve to a given problem?,computational complexity theory,analysis of algorithms,0.0,0.0,0.0,3,False,2025-07-10T06:11:22.381173
question_mark_20250710_060653,without_question_mark,107,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms?,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms,computability theory,optimization,0.0,0.0,0.0,1,True,2025-07-10T06:11:22.810050
question_mark_20250710_060653,without_question_mark,108,What is the name given to the input string of a computational problem?,What is the name given to the input string of a computational problem,What is the name given to the input string of a computational problem,problem instance,initial state,0.0,0.0,0.0,2,True,2025-07-10T06:11:23.124867
question_mark_20250710_060653,without_question_mark,109,"In computational complexity theory, what is the term given to describe the baseline abstract question needing to be solved? ","In computational complexity theory, what is the term given to describe the baseline abstract question needing to be solved?","In computational complexity theory, what is the term given to describe the baseline abstract question needing to be solved?",the problem,problem,0.0,0.6666666666666666,0.5,1,False,2025-07-10T06:11:23.607019
question_mark_20250710_060653,without_question_mark,110,Is a problem instance typically characterized as abstract or concrete?,Is a problem instance typically characterized as abstract or concrete,Is a problem instance typically characterized as abstract or concrete,concrete,,0.0,0.0,0.0,0,True,2025-07-10T06:11:24.054516
question_mark_20250710_060653,without_question_mark,111,What is another name for any given measure of input associated with a problem?,What is another name for any given measure of input associated with a problem,What is another name for any given measure of input associated with a problem,instances,data,0.0,0.0,0.0,1,True,2025-07-10T06:11:24.707589
question_mark_20250710_060653,without_question_mark,112,What is the general term used to describe the output to any given input in a problem instance?,What is the general term used to describe the output to any given input in a problem instance,What is the general term used to describe the output to any given input in a problem instance,solution,output,0.0,0.0,0.0,1,True,2025-07-10T06:11:25.361944
question_mark_20250710_060653,without_question_mark,113,By how many kilometers does the traveling salesman problem seek to classify a route between the 15 largest cities in Germany?,By how many kilometers does the traveling salesman problem seek to classify a route between the 15 largest cities in Germany,By how many kilometers does the traveling salesman problem seek to classify a route between the 15 largest cities in Germany,2000,,0.0,0.0,0.0,0,True,2025-07-10T06:11:25.877705
question_mark_20250710_060653,without_question_mark,114,What is one example of an instance that the quantitative answer to the traveling salesman problem fails to answer?,What is one example of an instance that the quantitative answer to the traveling salesman problem fails to answer,What is one example of an instance that the quantitative answer to the traveling salesman problem fails to answer,round trip through all sites in Milan,,0.0,0.0,0.0,0,True,2025-07-10T06:11:26.184628
question_mark_20250710_060653,without_question_mark,115,What does computational complexity theory most specifically seek to answer? ,What does computational complexity theory most specifically seek to answer?,What does computational complexity theory most specifically seek to answer?,computational problems,computational problems,1.0,1.0,1.0,2,False,2025-07-10T06:11:26.696875
question_mark_20250710_060653,without_question_mark,116,"In a computational problem, what can be described as a string over an alphabet?","In a computational problem, what can be described as a string over an alphabet","In a computational problem, what can be described as a string over an alphabet",problem instance,patterns,0.0,0.0,0.0,1,True,2025-07-10T06:11:27.093781
question_mark_20250710_060653,without_question_mark,117,What is the name of the alphabet is most commonly used in a problem instance?,What is the name of the alphabet is most commonly used in a problem instance,What is the name of the alphabet is most commonly used in a problem instance,binary alphabet,alphonse,0.0,0.0,0.0,1,True,2025-07-10T06:11:27.485255
