experiment_id,template,template_purpose,dataset,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,20,Who ruined Roussel de Bailleul's plans for an independent state,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,henshaw,0.0,0.0,0.0,1,2025-07-11T15:30:43.222904
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,21,What was the name of the Norman castle,What was the name of the Norman castle?,Afranji,neath castle,0.0,0.0,0.0,2,2025-07-11T15:30:43.431248
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,22,Who was the leader when the Franks entered the Euphrates valley,Who was the leader when the Franks entered the Euphrates valley?,Oursel,theudebert i,0.0,0.0,0.0,2,2025-07-11T15:30:43.801025
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,23,Who did the Normans team up with in Anatolia,Who did the Normans team up with in Anatolia?,Turkish forces,turkey,0.0,0.0,0.0,1,2025-07-11T15:30:43.969582
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,24,What were the origins of the Raouliii family,What were the origins of the Raouliii family?,Norman mercenary,english,0.0,0.0,0.0,1,2025-07-11T15:30:44.540152
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,25,What was the name of the count of Apulia,What was the name of the count of Apulia?,Robert Guiscard,armistice of villa giusti,0.0,0.0,0.0,4,2025-07-11T15:30:44.893158
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,26,When did Dyrrachium  fall to the Normans,When did Dyrrachium  fall to the Normans?,1082,10th century,0.0,0.0,0.0,2,2025-07-11T15:30:45.591999
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,27,How many men were in Robert's army,How many men were in Robert's army?,"30,000","1,000,000",0.0,0.0,0.0,1,2025-07-11T15:30:46.602452
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,28,Where did the Normans and Byzantines sign the peace treaty,Where did the Normans and Byzantines sign the peace treaty?,Deabolis,constantinople,0.0,0.0,0.0,1,2025-07-11T15:30:46.955462
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,29,Who was Robert's son,Who was Robert's son?,Bohemond,steffon,0.0,0.0,0.0,1,2025-07-11T15:30:47.513099
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,30,What river was Petrela located by,What river was Petrela located by?,Deabolis,river irwell,0.0,0.0,0.0,2,2025-07-11T15:30:47.864849
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,31,When did the Normans attack Dyrrachium,When did the Normans attack Dyrrachium?,1185,october 1174,0.0,0.0,0.0,2,2025-07-11T15:30:48.042012
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,32,What was the naval base called,What was the naval base called?,Dyrrachium,guantanamo bay naval base,0.0,0.0,0.0,4,2025-07-11T15:30:48.388408
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,33,Where was Dyrrachium located,Where was Dyrrachium located?,the Adriatic,canada,0.0,0.0,0.0,1,2025-07-11T15:30:48.978114
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,34,Who did Emma Marry,Who did Emma Marry?,King Ethelred II,will arnett,0.0,0.0,0.0,2,2025-07-11T15:30:49.170600
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,35,Who was Emma's brother,Who was Emma's brother?,Duke Richard II,bradley spencer,0.0,0.0,0.0,2,2025-07-11T15:30:50.035193
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,36,To where did Ethelred flee,To where did Ethelred flee?,Normandy,fled to be with ethelred,0.0,0.0,0.0,5,2025-07-11T15:30:50.917040
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,37,Who kicked Ethelred out,Who kicked Ethelred out?,Sweyn Forkbeard,howard,0.0,0.0,0.0,1,2025-07-11T15:30:51.216143
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,38,Who was Edward the Confessor's half-brother,Who was Edward the Confessor's half-brother?,Harthacnut,edmund irons,0.0,0.0,0.0,2,2025-07-11T15:30:51.406214
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,39,When did Edward return,When did Edward return?,1041,1357,0.0,0.0,0.0,1,2025-07-11T15:30:51.839011
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,40,Who did Edward make archbishop of Canterbury,Who did Edward make archbishop of Canterbury?,Robert of Jumièges,himself,0.0,0.0,0.0,1,2025-07-11T15:30:52.156326
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,41,Where did Harold II die,Where did Harold II die?,Battle of Hastings,at the battle of hastings,0.0,0.7499999999999999,1.0,5,2025-07-11T15:30:52.523569
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,42,Who killed Harold II?,Who killed Harold II??,William II,william the conqueror,0.0,0.4,0.5,3,2025-07-11T15:30:52.932382
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,43,When was the Battle of Hastings,When was the Battle of Hastings?,1066,14 october 1066,0.0,0.5,1.0,3,2025-07-11T15:30:53.449245
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,44,Who was the ruling class ahead of the Normans,Who was the ruling class ahead of the Normans?,Anglo-Saxons,the bourgeoisie,0.0,0.0,0.0,2,2025-07-11T15:30:54.095305
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,45,What was the Anglo-Norman language's final form,What was the Anglo-Norman language's final form?,Modern English,middle english,0.0,0.5,0.5,2,2025-07-11T15:30:54.714274
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,46,In what year did the Norman's invade at Bannow Bay,In what year did the Norman's invade at Bannow Bay?,1169,1169,1.0,1.0,1.0,1,2025-07-11T15:30:55.286842
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,47,What country did the Normans invade in 1169,What country did the Normans invade in 1169?,Ireland,england,0.0,0.0,0.0,1,2025-07-11T15:30:55.718254
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,48,What culture did the Normans combine with in Ireland,What culture did the Normans combine with in Ireland?,Irish,irish,1.0,1.0,1.0,1,2025-07-11T15:30:55.859090
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,49,Who was Margaret's brother,Who was Margaret's brother?,Edgar,philip,0.0,0.0,0.0,1,2025-07-11T15:30:56.226715
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,50,Who was Margaret's husband,Who was Margaret's husband?,King Malcolm III of Scotland,hans schroeder,0.0,0.0,0.0,2,2025-07-11T15:30:56.876903
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,51,When was Scotland invaded by William,When was Scotland invaded by William?,1072,1612,0.0,0.0,0.0,1,2025-07-11T15:30:57.039032
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,52,Who was the hostage,Who was the hostage?,Duncan,thomas randolph,0.0,0.0,0.0,2,2025-07-11T15:30:57.337675
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,53,Who did Alexander I marry,Who did Alexander I marry?,Sybilla of Normandy,emma rooke,0.0,0.0,0.0,2,2025-07-11T15:30:58.088305
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,54,"What culture's arrival in Scotland is know as the ""Davidian Revolution""","What culture's arrival in Scotland is know as the ""Davidian Revolution""?",Norman,norman,1.0,1.0,1.0,1,2025-07-11T15:30:58.905881
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,55,Where was Ralph earl of,Where was Ralph earl of?,Hereford,east anglia,0.0,0.0,0.0,2,2025-07-11T15:30:59.368461
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,56,Who was Ralph in charge of being at war with,Who was Ralph in charge of being at war with?,the Welsh,u.s. army,0.0,0.0,0.0,2,2025-07-11T15:30:59.654434
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,57,Who made Ralph earl,Who made Ralph earl?,Edward the Confessor,ramsay,0.0,0.0,0.0,1,2025-07-11T15:31:00.154043
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,58,What country was under the control of Norman barons,What country was under the control of Norman barons?,Wales,england,0.0,0.0,0.0,1,2025-07-11T15:31:00.591009
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,59,What year did Roger de Tosny fail to accomplish what he set out to do,What year did Roger de Tosny fail to accomplish what he set out to do?,1018,1982,0.0,0.0,0.0,1,2025-07-11T15:31:00.786692
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,60,Who was in charge of the papal army in the War of Barbastro,Who was in charge of the papal army in the War of Barbastro?,William of Montreuil,pope alexander ii,0.0,0.0,0.0,3,2025-07-11T15:31:01.153690
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,61,When did the Siege of Antioch take place,When did the Siege of Antioch take place?,1097,1097 and 1098,0.0,0.5,1.0,3,2025-07-11T15:31:01.710665
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,62,What was the name of Bohemond's nephew,What was the name of Bohemond's nephew?,Tancred,jean - fréminet,0.0,0.0,0.0,3,2025-07-11T15:31:02.628680
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,63,What major conquest did Tancred play a roll in,What major conquest did Tancred play a roll in?,Jerusalem,british - iroquois victory,0.0,0.0,0.0,4,2025-07-11T15:31:03.496162
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,64,How long did Western Europe control Cyprus,How long did Western Europe control Cyprus?,380 years,1878 -- 79,0.0,0.0,0.0,3,2025-07-11T15:31:03.873114
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,65,What ruined Richard's plans to reach Acre,What ruined Richard's plans to reach Acre?,a storm,2018,0.0,0.0,0.0,1,2025-07-11T15:31:04.034499
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,66,Who was Richard's fiancee,Who was Richard's fiancee?,Berengaria,brittany baker,0.0,0.0,0.0,2,2025-07-11T15:31:04.514424
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,67,What year did the storm hit Richard's fleet,What year did the storm hit Richard's fleet?,1191,1794,0.0,0.0,0.0,1,2025-07-11T15:31:04.889402
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,68,Who ruled Cyprus in 1191,Who ruled Cyprus in 1191?,Isaac Komnenos,king richard i of england,0.0,0.0,0.0,5,2025-07-11T15:31:05.193358
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,69,Who was Guy's Rival,Who was Guy's Rival?,Conrad of Montferrat,ky markham,0.0,0.0,0.0,2,2025-07-11T15:31:05.663588
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,70,What were Isaac's chains made out of,What were Isaac's chains made out of?,silver,,0.0,0.0,0.0,0,2025-07-11T15:31:06.076219
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,71,Who led Richard's troops when Cyprus was conquered,Who led Richard's troops when Cyprus was conquered?,Guy de Lusignan,2018,0.0,0.0,0.0,1,2025-07-11T15:31:06.712204
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,72,What continent are the Canarian Islands off the coast of,What continent are the Canarian Islands off the coast of?,Africa,western hemisphere,0.0,0.0,0.0,2,2025-07-11T15:31:07.353261
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,73,Who became the King of the Canary Islands,Who became the King of the Canary Islands?,Bethencourt,guipuzcoa,0.0,0.0,0.0,1,2025-07-11T15:31:07.967619
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,74,Who bought the rights,Who bought the rights?,Enrique Pérez de Guzmán,united artists,0.0,0.0,0.0,2,2025-07-11T15:31:08.254129
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,75,Who sold the rights,Who sold the rights?,Maciot de Bethencourt,who,0.0,0.0,0.0,1,2025-07-11T15:31:08.723618
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,76,Where are Jersey and Guernsey,Where are Jersey and Guernsey?,Channel Islands,normandy,0.0,0.0,0.0,1,2025-07-11T15:31:09.216679
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,77,How many customaries does Norman customary law have,How many customaries does Norman customary law have?,two,161,0.0,0.0,0.0,1,2025-07-11T15:31:09.357436
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,78,What is the Norman architecture idiom,What is the Norman architecture idiom?,Romanesque,norman transitional style,0.0,0.0,0.0,3,2025-07-11T15:31:09.847631
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,79,What kind of arches does Norman architecture have,What kind of arches does Norman architecture have?,rounded,grand arch,0.0,0.0,0.0,2,2025-07-11T15:31:10.493763
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,80,What architecture type came after Norman in England,What architecture type came after Norman in England?,Early Gothic,processional gateway ( propylon ),0.0,0.0,0.0,5,2025-07-11T15:31:11.432231
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,81,What architecture type came before Norman in England,What architecture type came before Norman in England?,Anglo-Saxon,romanesque,0.0,0.0,0.0,1,2025-07-11T15:31:11.864380
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,82,What place had the Norman Arab architectural style,What place had the Norman Arab architectural style?,Sicily,england,0.0,0.0,0.0,1,2025-07-11T15:31:12.261440
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,83,When did the church reform begin,When did the church reform begin?,early 11th century,1517,0.0,0.0,0.0,1,2025-07-11T15:31:12.435351
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,84,Who used the church to unify themselves,Who used the church to unify themselves?,dukes,native - born christians,0.0,0.0,0.0,4,2025-07-11T15:31:12.775890
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,85,When were the French wars of religion,When were the French wars of religion?,16th century,between 1562 and 1598,0.0,0.0,0.0,4,2025-07-11T15:31:13.417676
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,86,What kind of needlework was used in the creation of the Bayeux Tapestry,What kind of needlework was used in the creation of the Bayeux Tapestry?,embroidery,embroidery,1.0,1.0,1.0,1,2025-07-11T15:31:13.584613
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,87,What is Norman art's most well known piece,What is Norman art's most well known piece?,Bayeux Tapestry,the battle of thermopylae,0.0,0.0,0.0,4,2025-07-11T15:31:13.893669
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,88,Who commissioned the Tapestry,Who commissioned the Tapestry?,Odo,bishop odo,0.0,0.6666666666666666,1.0,2,2025-07-11T15:31:15.022543
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,89,What is the most important type of Norman art preserved in churches,What is the most important type of Norman art preserved in churches?,mosaics,norman architecture,0.0,0.0,0.0,2,2025-07-11T15:31:15.787689
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,90,In what century did important classical music developments occur in Normandy,In what century did important classical music developments occur in Normandy?,11th,1790s,0.0,0.0,0.0,1,2025-07-11T15:31:16.242358
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,91,Who were the two abbots at Fécamp Abbey,Who were the two abbots at Fécamp Abbey?,William of Volpiano and John of Ravenna,richard ii,0.0,0.0,0.0,2,2025-07-11T15:31:16.609238
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,92,Where did the monks flee to,Where did the monks flee to?,southern Italy,italy,0.0,0.6666666666666666,0.5,1,2025-07-11T15:31:16.769823
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,93,What monastery did the Saint-Evroul monks establish in Italy,What monastery did the Saint-Evroul monks establish in Italy?,Latin monastery at Sant'Eufemia.,montepulciano,0.0,0.0,0.0,1,2025-07-11T15:31:17.069700
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,94,Who patronized the monks in Italy?,Who patronized the monks in Italy??,Robert Guiscard,rich and successful businessmen,0.0,0.0,0.0,4,2025-07-11T15:31:17.458763
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,95,What tradition were the Saint-Evroul monks known for,What tradition were the Saint-Evroul monks known for?,singing,aristotelianism,0.0,0.0,0.0,1,2025-07-11T15:31:17.992716
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,96,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?,Computational complexity theory,computational complexity theory,1.0,1.0,1.0,3,2025-07-11T15:31:18.767574
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,97,By what main attribute are computational problems classified utilizing computational complexity theory?,By what main attribute are computational problems classified utilizing computational complexity theory??,inherent difficulty,inherent difficulty,1.0,1.0,1.0,2,2025-07-11T15:31:19.308732
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,98,What is the term for a task that generally lends itself to being solved by a computer,What is the term for a task that generally lends itself to being solved by a computer?,computational problems,algorithm,0.0,0.0,0.0,1,2025-07-11T15:31:19.795519
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,99,What measure of a computational problem broadly defines the inherent difficulty of the solution,What measure of a computational problem broadly defines the inherent difficulty of the solution?,if its solution requires significant resources,turing degree,0.0,0.0,0.0,2,2025-07-11T15:31:20.300199
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,100,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem?,mathematical models of computation,resource management,0.0,0.0,0.0,2,2025-07-11T15:31:20.580428
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,101,What are two basic primary resources used to guage complexity,What are two basic primary resources used to guage complexity?,time and storage,water,0.0,0.0,0.0,1,2025-07-11T15:31:20.751667
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,102,What unit is measured to determine circuit complexity,What unit is measured to determine circuit complexity?,number of gates in a circuit,,0.0,0.0,0.0,0,2025-07-11T15:31:21.036361
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,103,What practical role does defining the complexity of problems play in everyday computing,What practical role does defining the complexity of problems play in everyday computing?,determine the practical limits on what computers can and cannot do,improving the efficiency of an algorithm,0.0,0.11764705882352942,0.09090909090909091,6,2025-07-11T15:31:21.521655
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,104,What two fields of theoretical computer science closely mirror computational complexity theory,What two fields of theoretical computer science closely mirror computational complexity theory?,analysis of algorithms and computability theory,computability theory,0.0,0.5,0.3333333333333333,2,2025-07-11T15:31:21.934166
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,105,What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem,What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem?,analysis of algorithms,empirical algorithmics,0.0,0.0,0.0,2,2025-07-11T15:31:22.098938
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,106,What field of computer science analyzes all possible algorithms in aggregate to determine the resource requirements needed to solve to a given problem?,What field of computer science analyzes all possible algorithms in aggregate to determine the resource requirements needed to solve to a given problem??,computational complexity theory,,0.0,0.0,0.0,0,2025-07-11T15:31:22.761142
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,107,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms?,computability theory,optimization,0.0,0.0,0.0,1,2025-07-11T15:31:23.325846
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,108,What is the name given to the input string of a computational problem,What is the name given to the input string of a computational problem?,problem instance,initial state,0.0,0.0,0.0,2,2025-07-11T15:31:23.902882
