experiment_id,template,template_purpose,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
seven_template_20250711_065702,question_mark,Test punctuation impact,33,Where was Dyrrachium located,Where was Dyrrachium located?,the Adriatic,canada,0.0,0.0,0.0,1,2025-07-11T07:01:56.645858
seven_template_20250711_065702,question_mark,Test punctuation impact,34,Who did Emma Marry,Who did Emma Marry?,King Ethelred II,will arnett,0.0,0.0,0.0,2,2025-07-11T07:01:56.969798
seven_template_20250711_065702,question_mark,Test punctuation impact,35,Who was Emma's brother,Who was Emma's brother?,Duke Richard II,bradley spencer,0.0,0.0,0.0,2,2025-07-11T07:01:57.264928
seven_template_20250711_065702,question_mark,Test punctuation impact,36,To where did Ethelred flee,To where did Ethelred flee?,Normandy,fled to be with ethelred,0.0,0.0,0.0,5,2025-07-11T07:01:57.700889
seven_template_20250711_065702,question_mark,Test punctuation impact,37,Who kicked Ethelred out,Who kicked Ethelred out?,Sweyn Forkbeard,howard,0.0,0.0,0.0,1,2025-07-11T07:01:57.904252
seven_template_20250711_065702,question_mark,Test punctuation impact,38,Who was Edward the Confessor's half-brother,Who was Edward the Confessor's half-brother?,Harthacnut,edmund irons,0.0,0.0,0.0,2,2025-07-11T07:01:58.169221
seven_template_20250711_065702,question_mark,Test punctuation impact,39,When did Edward return,When did Edward return?,1041,1357,0.0,0.0,0.0,1,2025-07-11T07:01:58.549901
seven_template_20250711_065702,question_mark,Test punctuation impact,40,Who did Edward make archbishop of Canterbury,Who did Edward make archbishop of Canterbury?,Robert of Jumièges,himself,0.0,0.0,0.0,1,2025-07-11T07:01:58.719631
seven_template_20250711_065702,question_mark,Test punctuation impact,41,Where did Harold II die,Where did Harold II die?,Battle of Hastings,at the battle of hastings,0.0,0.7499999999999999,1.0,5,2025-07-11T07:01:59.009496
seven_template_20250711_065702,question_mark,Test punctuation impact,42,Who killed Harold II?,Who killed Harold II??,William II,william the conqueror,0.0,0.4,0.5,3,2025-07-11T07:01:59.368566
seven_template_20250711_065702,question_mark,Test punctuation impact,43,When was the Battle of Hastings,When was the Battle of Hastings?,1066,14 october 1066,0.0,0.5,1.0,3,2025-07-11T07:01:59.620884
seven_template_20250711_065702,question_mark,Test punctuation impact,44,Who was the ruling class ahead of the Normans,Who was the ruling class ahead of the Normans?,Anglo-Saxons,the bourgeoisie,0.0,0.0,0.0,2,2025-07-11T07:01:59.898994
seven_template_20250711_065702,question_mark,Test punctuation impact,45,What was the Anglo-Norman language's final form,What was the Anglo-Norman language's final form?,Modern English,middle english,0.0,0.5,0.5,2,2025-07-11T07:02:00.114544
seven_template_20250711_065702,question_mark,Test punctuation impact,46,In what year did the Norman's invade at Bannow Bay,In what year did the Norman's invade at Bannow Bay?,1169,1169,1.0,1.0,1.0,1,2025-07-11T07:02:00.435889
seven_template_20250711_065702,question_mark,Test punctuation impact,47,What country did the Normans invade in 1169,What country did the Normans invade in 1169?,Ireland,england,0.0,0.0,0.0,1,2025-07-11T07:02:00.707105
seven_template_20250711_065702,question_mark,Test punctuation impact,48,What culture did the Normans combine with in Ireland,What culture did the Normans combine with in Ireland?,Irish,irish,1.0,1.0,1.0,1,2025-07-11T07:02:01.132465
seven_template_20250711_065702,question_mark,Test punctuation impact,49,Who was Margaret's brother,Who was Margaret's brother?,Edgar,philip,0.0,0.0,0.0,1,2025-07-11T07:02:01.287923
seven_template_20250711_065702,question_mark,Test punctuation impact,50,Who was Margaret's husband,Who was Margaret's husband?,King Malcolm III of Scotland,hans schroeder,0.0,0.0,0.0,2,2025-07-11T07:02:01.541714
seven_template_20250711_065702,question_mark,Test punctuation impact,51,When was Scotland invaded by William,When was Scotland invaded by William?,1072,1612,0.0,0.0,0.0,1,2025-07-11T07:02:01.756945
seven_template_20250711_065702,question_mark,Test punctuation impact,52,Who was the hostage,Who was the hostage?,Duncan,thomas randolph,0.0,0.0,0.0,2,2025-07-11T07:02:02.181374
seven_template_20250711_065702,question_mark,Test punctuation impact,53,Who did Alexander I marry,Who did Alexander I marry?,Sybilla of Normandy,emma rooke,0.0,0.0,0.0,2,2025-07-11T07:02:02.449452
seven_template_20250711_065702,question_mark,Test punctuation impact,54,"What culture's arrival in Scotland is know as the ""Davidian Revolution""","What culture's arrival in Scotland is know as the ""Davidian Revolution""?",Norman,norman,1.0,1.0,1.0,1,2025-07-11T07:02:02.796531
seven_template_20250711_065702,question_mark,Test punctuation impact,55,Where was Ralph earl of,Where was Ralph earl of?,Hereford,east anglia,0.0,0.0,0.0,2,2025-07-11T07:02:03.066172
seven_template_20250711_065702,question_mark,Test punctuation impact,56,Who was Ralph in charge of being at war with,Who was Ralph in charge of being at war with?,the Welsh,u.s. army,0.0,0.0,0.0,2,2025-07-11T07:02:03.347916
seven_template_20250711_065702,question_mark,Test punctuation impact,57,Who made Ralph earl,Who made Ralph earl?,Edward the Confessor,ramsay,0.0,0.0,0.0,1,2025-07-11T07:02:03.635037
seven_template_20250711_065702,question_mark,Test punctuation impact,58,What country was under the control of Norman barons,What country was under the control of Norman barons?,Wales,england,0.0,0.0,0.0,1,2025-07-11T07:02:03.874427
seven_template_20250711_065702,question_mark,Test punctuation impact,59,What year did Roger de Tosny fail to accomplish what he set out to do,What year did Roger de Tosny fail to accomplish what he set out to do?,1018,1982,0.0,0.0,0.0,1,2025-07-11T07:02:04.168165
seven_template_20250711_065702,question_mark,Test punctuation impact,60,Who was in charge of the papal army in the War of Barbastro,Who was in charge of the papal army in the War of Barbastro?,William of Montreuil,pope alexander ii,0.0,0.0,0.0,3,2025-07-11T07:02:04.540996
seven_template_20250711_065702,question_mark,Test punctuation impact,61,When did the Siege of Antioch take place,When did the Siege of Antioch take place?,1097,1097 and 1098,0.0,0.5,1.0,3,2025-07-11T07:02:04.811136
seven_template_20250711_065702,question_mark,Test punctuation impact,62,What was the name of Bohemond's nephew,What was the name of Bohemond's nephew?,Tancred,jean - fréminet,0.0,0.0,0.0,3,2025-07-11T07:02:05.240926
seven_template_20250711_065702,question_mark,Test punctuation impact,63,What major conquest did Tancred play a roll in,What major conquest did Tancred play a roll in?,Jerusalem,british - iroquois victory,0.0,0.0,0.0,4,2025-07-11T07:02:05.568123
seven_template_20250711_065702,question_mark,Test punctuation impact,64,How long did Western Europe control Cyprus,How long did Western Europe control Cyprus?,380 years,1878 -- 79,0.0,0.0,0.0,3,2025-07-11T07:02:05.956864
seven_template_20250711_065702,question_mark,Test punctuation impact,65,What ruined Richard's plans to reach Acre,What ruined Richard's plans to reach Acre?,a storm,2018,0.0,0.0,0.0,1,2025-07-11T07:02:06.137162
seven_template_20250711_065702,question_mark,Test punctuation impact,66,Who was Richard's fiancee,Who was Richard's fiancee?,Berengaria,brittany baker,0.0,0.0,0.0,2,2025-07-11T07:02:06.424040
seven_template_20250711_065702,question_mark,Test punctuation impact,67,What year did the storm hit Richard's fleet,What year did the storm hit Richard's fleet?,1191,1794,0.0,0.0,0.0,1,2025-07-11T07:02:06.770809
seven_template_20250711_065702,question_mark,Test punctuation impact,68,Who ruled Cyprus in 1191,Who ruled Cyprus in 1191?,Isaac Komnenos,king richard i of england,0.0,0.0,0.0,5,2025-07-11T07:02:06.981949
seven_template_20250711_065702,question_mark,Test punctuation impact,69,Who was Guy's Rival,Who was Guy's Rival?,Conrad of Montferrat,ky markham,0.0,0.0,0.0,2,2025-07-11T07:02:07.236856
seven_template_20250711_065702,question_mark,Test punctuation impact,70,What were Isaac's chains made out of,What were Isaac's chains made out of?,silver,,0.0,0.0,0.0,0,2025-07-11T07:02:07.528779
seven_template_20250711_065702,question_mark,Test punctuation impact,71,Who led Richard's troops when Cyprus was conquered,Who led Richard's troops when Cyprus was conquered?,Guy de Lusignan,2018,0.0,0.0,0.0,1,2025-07-11T07:02:07.714069
seven_template_20250711_065702,question_mark,Test punctuation impact,72,What continent are the Canarian Islands off the coast of,What continent are the Canarian Islands off the coast of?,Africa,western hemisphere,0.0,0.0,0.0,2,2025-07-11T07:02:07.950181
seven_template_20250711_065702,question_mark,Test punctuation impact,73,Who became the King of the Canary Islands,Who became the King of the Canary Islands?,Bethencourt,guipuzcoa,0.0,0.0,0.0,1,2025-07-11T07:02:08.306563
seven_template_20250711_065702,question_mark,Test punctuation impact,74,Who bought the rights,Who bought the rights?,Enrique Pérez de Guzmán,united artists,0.0,0.0,0.0,2,2025-07-11T07:02:08.582956
seven_template_20250711_065702,question_mark,Test punctuation impact,75,Who sold the rights,Who sold the rights?,Maciot de Bethencourt,who,0.0,0.0,0.0,1,2025-07-11T07:02:09.001989
seven_template_20250711_065702,question_mark,Test punctuation impact,76,Where are Jersey and Guernsey,Where are Jersey and Guernsey?,Channel Islands,normandy,0.0,0.0,0.0,1,2025-07-11T07:02:09.217985
seven_template_20250711_065702,question_mark,Test punctuation impact,77,How many customaries does Norman customary law have,How many customaries does Norman customary law have?,two,161,0.0,0.0,0.0,1,2025-07-11T07:02:09.448746
seven_template_20250711_065702,question_mark,Test punctuation impact,78,What is the Norman architecture idiom,What is the Norman architecture idiom?,Romanesque,norman transitional style,0.0,0.0,0.0,3,2025-07-11T07:02:09.890433
seven_template_20250711_065702,question_mark,Test punctuation impact,79,What kind of arches does Norman architecture have,What kind of arches does Norman architecture have?,rounded,grand arch,0.0,0.0,0.0,2,2025-07-11T07:02:10.028443
seven_template_20250711_065702,question_mark,Test punctuation impact,80,What architecture type came after Norman in England,What architecture type came after Norman in England?,Early Gothic,processional gateway ( propylon ),0.0,0.0,0.0,5,2025-07-11T07:02:10.323051
seven_template_20250711_065702,question_mark,Test punctuation impact,81,What architecture type came before Norman in England,What architecture type came before Norman in England?,Anglo-Saxon,romanesque,0.0,0.0,0.0,1,2025-07-11T07:02:10.664699
seven_template_20250711_065702,question_mark,Test punctuation impact,82,What place had the Norman Arab architectural style,What place had the Norman Arab architectural style?,Sicily,england,0.0,0.0,0.0,1,2025-07-11T07:02:10.866131
seven_template_20250711_065702,question_mark,Test punctuation impact,83,When did the church reform begin,When did the church reform begin?,early 11th century,1517,0.0,0.0,0.0,1,2025-07-11T07:02:11.132493
seven_template_20250711_065702,question_mark,Test punctuation impact,84,Who used the church to unify themselves,Who used the church to unify themselves?,dukes,native - born christians,0.0,0.0,0.0,4,2025-07-11T07:02:11.489137
seven_template_20250711_065702,question_mark,Test punctuation impact,85,When were the French wars of religion,When were the French wars of religion?,16th century,between 1562 and 1598,0.0,0.0,0.0,4,2025-07-11T07:02:11.718919
seven_template_20250711_065702,question_mark,Test punctuation impact,86,What kind of needlework was used in the creation of the Bayeux Tapestry,What kind of needlework was used in the creation of the Bayeux Tapestry?,embroidery,embroidery,1.0,1.0,1.0,1,2025-07-11T07:02:11.954559
seven_template_20250711_065702,question_mark,Test punctuation impact,87,What is Norman art's most well known piece,What is Norman art's most well known piece?,Bayeux Tapestry,the battle of thermopylae,0.0,0.0,0.0,4,2025-07-11T07:02:12.361135
seven_template_20250711_065702,question_mark,Test punctuation impact,88,Who commissioned the Tapestry,Who commissioned the Tapestry?,Odo,bishop odo,0.0,0.6666666666666666,1.0,2,2025-07-11T07:02:12.697306
seven_template_20250711_065702,question_mark,Test punctuation impact,89,What is the most important type of Norman art preserved in churches,What is the most important type of Norman art preserved in churches?,mosaics,norman architecture,0.0,0.0,0.0,2,2025-07-11T07:02:13.126557
seven_template_20250711_065702,question_mark,Test punctuation impact,90,In what century did important classical music developments occur in Normandy,In what century did important classical music developments occur in Normandy?,11th,1790s,0.0,0.0,0.0,1,2025-07-11T07:02:13.330468
seven_template_20250711_065702,question_mark,Test punctuation impact,91,Who were the two abbots at Fécamp Abbey,Who were the two abbots at Fécamp Abbey?,William of Volpiano and John of Ravenna,richard ii,0.0,0.0,0.0,2,2025-07-11T07:02:13.557145
seven_template_20250711_065702,question_mark,Test punctuation impact,92,Where did the monks flee to,Where did the monks flee to?,southern Italy,italy,0.0,0.6666666666666666,0.5,1,2025-07-11T07:02:13.858967
seven_template_20250711_065702,question_mark,Test punctuation impact,93,What monastery did the Saint-Evroul monks establish in Italy,What monastery did the Saint-Evroul monks establish in Italy?,Latin monastery at Sant'Eufemia.,montepulciano,0.0,0.0,0.0,1,2025-07-11T07:02:14.152157
seven_template_20250711_065702,question_mark,Test punctuation impact,94,Who patronized the monks in Italy?,Who patronized the monks in Italy??,Robert Guiscard,rich and successful businessmen,0.0,0.0,0.0,4,2025-07-11T07:02:14.499380
seven_template_20250711_065702,question_mark,Test punctuation impact,95,What tradition were the Saint-Evroul monks known for,What tradition were the Saint-Evroul monks known for?,singing,aristotelianism,0.0,0.0,0.0,1,2025-07-11T07:02:14.820997
seven_template_20250711_065702,question_mark,Test punctuation impact,96,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?,Computational complexity theory,computational complexity theory,1.0,1.0,1.0,3,2025-07-11T07:02:15.186974
seven_template_20250711_065702,question_mark,Test punctuation impact,97,By what main attribute are computational problems classified utilizing computational complexity theory?,By what main attribute are computational problems classified utilizing computational complexity theory??,inherent difficulty,inherent difficulty,1.0,1.0,1.0,2,2025-07-11T07:02:15.404827
seven_template_20250711_065702,question_mark,Test punctuation impact,98,What is the term for a task that generally lends itself to being solved by a computer,What is the term for a task that generally lends itself to being solved by a computer?,computational problems,algorithm,0.0,0.0,0.0,1,2025-07-11T07:02:15.624036
seven_template_20250711_065702,question_mark,Test punctuation impact,99,What measure of a computational problem broadly defines the inherent difficulty of the solution,What measure of a computational problem broadly defines the inherent difficulty of the solution?,if its solution requires significant resources,turing degree,0.0,0.0,0.0,2,2025-07-11T07:02:15.986077
seven_template_20250711_065702,question_mark,Test punctuation impact,100,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem?,mathematical models of computation,resource management,0.0,0.0,0.0,2,2025-07-11T07:02:16.208980
seven_template_20250711_065702,question_mark,Test punctuation impact,101,What are two basic primary resources used to guage complexity,What are two basic primary resources used to guage complexity?,time and storage,water,0.0,0.0,0.0,1,2025-07-11T07:02:16.407155
seven_template_20250711_065702,question_mark,Test punctuation impact,102,What unit is measured to determine circuit complexity,What unit is measured to determine circuit complexity?,number of gates in a circuit,,0.0,0.0,0.0,0,2025-07-11T07:02:16.703451
seven_template_20250711_065702,question_mark,Test punctuation impact,103,What practical role does defining the complexity of problems play in everyday computing,What practical role does defining the complexity of problems play in everyday computing?,determine the practical limits on what computers can and cannot do,improving the efficiency of an algorithm,0.0,0.11764705882352942,0.09090909090909091,6,2025-07-11T07:02:16.992477
seven_template_20250711_065702,question_mark,Test punctuation impact,104,What two fields of theoretical computer science closely mirror computational complexity theory,What two fields of theoretical computer science closely mirror computational complexity theory?,analysis of algorithms and computability theory,computability theory,0.0,0.5,0.3333333333333333,2,2025-07-11T07:02:17.343413
seven_template_20250711_065702,question_mark,Test punctuation impact,105,What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem,What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem?,analysis of algorithms,empirical algorithmics,0.0,0.0,0.0,2,2025-07-11T07:02:17.509471
seven_template_20250711_065702,question_mark,Test punctuation impact,106,What field of computer science analyzes all possible algorithms in aggregate to determine the resource requirements needed to solve to a given problem?,What field of computer science analyzes all possible algorithms in aggregate to determine the resource requirements needed to solve to a given problem??,computational complexity theory,,0.0,0.0,0.0,0,2025-07-11T07:02:17.729871
seven_template_20250711_065702,question_mark,Test punctuation impact,107,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms?,computability theory,optimization,0.0,0.0,0.0,1,2025-07-11T07:02:18.058923
seven_template_20250711_065702,question_mark,Test punctuation impact,108,What is the name given to the input string of a computational problem,What is the name given to the input string of a computational problem?,problem instance,initial state,0.0,0.0,0.0,2,2025-07-11T07:02:18.279453
seven_template_20250711_065702,question_mark,Test punctuation impact,109,"In computational complexity theory, what is the term given to describe the baseline abstract question needing to be solved?","In computational complexity theory, what is the term given to describe the baseline abstract question needing to be solved??",the problem,a problem,0.0,0.5,0.5,2,2025-07-11T07:02:18.513402
seven_template_20250711_065702,question_mark,Test punctuation impact,110,Is a problem instance typically characterized as abstract or concrete,Is a problem instance typically characterized as abstract or concrete?,concrete,concrete,1.0,1.0,1.0,1,2025-07-11T07:02:18.831688
seven_template_20250711_065702,question_mark,Test punctuation impact,111,What is another name for any given measure of input associated with a problem,What is another name for any given measure of input associated with a problem?,instances,data,0.0,0.0,0.0,1,2025-07-11T07:02:19.069299
seven_template_20250711_065702,question_mark,Test punctuation impact,112,What is the general term used to describe the output to any given input in a problem instance,What is the general term used to describe the output to any given input in a problem instance?,solution,output,0.0,0.0,0.0,1,2025-07-11T07:02:19.288962
seven_template_20250711_065702,question_mark,Test punctuation impact,113,By how many kilometers does the traveling salesman problem seek to classify a route between the 15 largest cities in Germany,By how many kilometers does the traveling salesman problem seek to classify a route between the 15 largest cities in Germany?,2000,,0.0,0.0,0.0,0,2025-07-11T07:02:19.592655
seven_template_20250711_065702,question_mark,Test punctuation impact,114,What is one example of an instance that the quantitative answer to the traveling salesman problem fails to answer,What is one example of an instance that the quantitative answer to the traveling salesman problem fails to answer?,round trip through all sites in Milan,the battle of thermopylae,0.0,0.0,0.0,4,2025-07-11T07:02:19.894210
seven_template_20250711_065702,question_mark,Test punctuation impact,115,What does computational complexity theory most specifically seek to answer?,What does computational complexity theory most specifically seek to answer??,computational problems,computational problem,0.0,0.5,0.5,2,2025-07-11T07:02:20.241945
seven_template_20250711_065702,question_mark,Test punctuation impact,116,"In a computational problem, what can be described as a string over an alphabet","In a computational problem, what can be described as a string over an alphabet?",problem instance,patterns,0.0,0.0,0.0,1,2025-07-11T07:02:20.466831
seven_template_20250711_065702,question_mark,Test punctuation impact,117,What is the name of the alphabet is most commonly used in a problem instance,What is the name of the alphabet is most commonly used in a problem instance?,binary alphabet,anagram,0.0,0.0,0.0,1,2025-07-11T07:02:20.623069
seven_template_20250711_065702,question_mark,Test punctuation impact,118,What is another term for the string of a problem instance,What is another term for the string of a problem instance?,bitstrings,java. util,0.0,0.0,0.0,2,2025-07-11T07:02:20.904919
seven_template_20250711_065702,question_mark,Test punctuation impact,119,"In the encoding of mathematical objects, what is the way in which integers are commonly expressed","In the encoding of mathematical objects, what is the way in which integers are commonly expressed?",binary notation,binary interpretation of the numbers,0.0,0.28571428571428575,0.5,5,2025-07-11T07:02:21.227434
seven_template_20250711_065702,question_mark,Test punctuation impact,120,What is one way in which graphs can be encoded?,What is one way in which graphs can be encoded??,adjacency matrices,factorials n!,0.0,0.0,0.0,2,2025-07-11T07:02:21.504777
seven_template_20250711_065702,question_mark,Test punctuation impact,121,What kind of problems are one of the main topics studied in computational complexity theory,What kind of problems are one of the main topics studied in computational complexity theory?,Decision problems,computational problems,0.0,0.5,0.5,2,2025-07-11T07:02:21.820318
seven_template_20250711_065702,question_mark,Test punctuation impact,122,What are the two simple word responses to a decision problem,What are the two simple word responses to a decision problem?,yes or no,yes,0.0,0.5,0.3333333333333333,1,2025-07-11T07:02:22.020454
seven_template_20250711_065702,question_mark,Test punctuation impact,123,What are the two integer responses to a decision problem,What are the two integer responses to a decision problem?,1 or 0,yes,0.0,0.0,0.0,1,2025-07-11T07:02:22.261422
seven_template_20250711_065702,question_mark,Test punctuation impact,124,What will the output be for a member of the language of a decision problem,What will the output be for a member of the language of a decision problem?,yes,yes,1.0,1.0,1.0,1,2025-07-11T07:02:22.614276
seven_template_20250711_065702,question_mark,Test punctuation impact,125,What answer denotes that an algorithm has accepted an input string,What answer denotes that an algorithm has accepted an input string?,yes,is or is not a response,0.0,0.0,0.0,6,2025-07-11T07:02:22.878340
seven_template_20250711_065702,question_mark,Test punctuation impact,126,What kind of graph is an example of an input used in a decision problem,What kind of graph is an example of an input used in a decision problem?,arbitrary graph,decision tree,0.0,0.0,0.0,2,2025-07-11T07:02:23.091826
seven_template_20250711_065702,question_mark,Test punctuation impact,127,What is the term for the set of all connected graphs related to this decision problem,What is the term for the set of all connected graphs related to this decision problem?,formal language,dominating set,0.0,0.0,0.0,2,2025-07-11T07:02:23.367140
seven_template_20250711_065702,question_mark,Test punctuation impact,128,What encoding decision needs to be made in order to determine an exact definition of the formal language,What encoding decision needs to be made in order to determine an exact definition of the formal language?,how graphs are encoded as binary strings,encoding decision,0.0,0.0,0.0,2,2025-07-11T07:02:23.610967
seven_template_20250711_065702,question_mark,Test punctuation impact,129,A function problem is an example of what,A function problem is an example of what?,a computational problem,computational complexity theory,0.0,0.3333333333333333,0.3333333333333333,3,2025-07-11T07:02:23.956210
seven_template_20250711_065702,question_mark,Test punctuation impact,130,How many outputs are expected for each input in a function problem,How many outputs are expected for each input in a function problem?,a single output,single,0.0,0.5,0.3333333333333333,1,2025-07-11T07:02:24.188827
